24-12-2015||satire||---------||A Micro-primer on Corruption||If you are caught in the act, just deny it.||
22-05-2015||commentary||---------||Can Traditional Bat Hunts Cause Disease Outbreaks in India? :||Natural hosts of some of the most deadly emerging viruses such as Ebola, bats are harvested in an annual ritual by one tribe in Nagaland. This practice, endangering both public health and biodiversity, can lead to the emergence of novel infectious diseases. A concerted and multipronged effort will have to be made to prevent, contain and respond to emerging zoonotic diseases.||Pilot Dovih
22-05-2015||commentary||---------||Agricultural Oddities :||Low input-use efficiency and insufficient productivity increases are key challenges to Indian agriculture. But are ever-rising minimum support prices and sops such as free power and farm loan waivers appropriate solutions||T C A Ranganathan
22-05-2015||commentary||---------||Immunisation Coverage in India : An Urban Conundrum||This article examines the decline in coverage levels of the Routine Immunisation Programme in the better-governed states across three rounds of the District Level Household and Facility Survey. The analysis points to an urban conundrum where proximity to urban centres is a "risk factor." An understanding of peri-urbanisation processes is essential for improving outcomes and governance in urban health services and the National Urban Health Mission.||Purnamita Dasgupta,Rajib Dasgupta
22-05-2015||commentary||---------||Remembering Chris Bayly :||Chris Bayly--who passed away recently--began as a historian in the classical Cambridge School mould but moved away from the school's understanding of the locality in his second work where he stressed on locality as a place shaped both by social history, and by participation in regional and even continental networks. He saw himself as a robustly empirical historian, suspicious of postmodernism and the linguistic turn.||Ajay Skaria
21-05-2015||fourteenth finance commission||---------||Fourteenth Finance Commission : Continuity, Change and Way Forward||In preparation of its report, the Fourteenth Finance Commission was guided by the terms of reference; the approach of the previous finance commissions; the prevailing macroeconomic situation in the country; and the evolving circumstances relevant to the ToR. The FFC learnt that there is much to be gained by adhering to the letter and spirit of the Constitution, and listen to and learn from stakeholders so that an appreciation can be had of the current problems. Further, the legitimacy of the finance commission in advocating policy agendas and assigning priorities should be kept in view.||Y Venugopal Reddy
21-05-2015||fourteenth finance commission||---------||Stance on Devolution and Grants :||The Fourteenth Finance Commission is to be commended for bringing states to the forefront of the development paradigm. The award is transformational but the fall in progressivity is of concern. There is a divergence in the growth projections between the FFC and the central and state governments. This underlines the need to implement quickly the recommendations to put in place an institutional framework for ex ante and ex post validation of both central and state budgets.||V Bhaskar
21-05-2015||fourteenth finance commission||---------||Some Hits and Misses :||The Fourteenth Finance Commission has come up with some bold and game-changing recommendations such as an increase in the tax share going to states from 32% to 42%, setting up of the Fiscal Council to make the centre accountable, and doing away with direct transfers to states under centrally-sponsored schemes. But unlike the Thirteenth Finance Commission the FFC has not bothered to estimate the impact of the Goods and Services Tax and disinvestment proceeds on gross domestic product as well as fiscal space. The discontinuation of the practice of giving special weight to a Fiscal Discipline Index, started by the Eleventh Finance Commission is an unwelcome development. This, coupled with the provisions of the revenue deficit and untied grants, is likely to encourage fiscal profligacy among several states.||Archana R Dholakia
21-05-2015||fourteenth finance commission||---------||Implications for Local Governments :||The subject of local governments has not been comprehensively treated by the Fourteenth Finance Commission. The implications of the new inter se distribution formula of the commission's award for local governments have not been thought through and important conditionalities have been changed or watered down.||M A Oommen
21-05-2015||insight||---------||Public Health Facilities in North India : An Exploratory Study in Four States||Following the introduction of universal access to free medicines and diagnostics at public health facilities in Rajasthan during 2011-13, we revisited the facilities surveyed by Banerjee et al (2004), and present the changes over the last decade. We find substantial improvement in infrastructure and the patient utilisation rate, but abysmally low utilisation of facilities primarily due to high absenteeism. We also present findings from fieldwork in Himachal Pradesh, Bihar and Jharkhand to bring out striking contrasts among these four northern states.||Kritika Goel,Reetika Khera
22-05-2015||special articles||---------||Cast(e) on the Hill : ‘Divine’ Power, Social Cohesion and Hierarchy in Himachal Pradesh||Caste has often been viewed as a system of hierarchy based on the religious ideology of the Hindus with a common structure across the subcontinent. Based on an extensive empirical study of Himachal Pradesh, this paper shows how caste actively articulates with the given realities of ecology, economy and the local histories of political regimes. Even though inequality and untouchability exist, their structures have specific regional forms. While it documents the everyday practices of faith and their local specificities, the ethnographic accounts presented in the paper also have implications for our understanding of Hinduism in the present-day context.||Surinder S Jodhka
22-05-2015||special articles||---------||When Planning Becomes a Ritual :||The debate over Mumbai's Development Plan 2034 has exposed the fault lines in the urban planning process. Apart from the problems posed by multiple autonomous agencies and a state government that has virtual veto powers, the development plan, as it stands today, ultimately favours builders instead of improving Mumbai's environment and quality of life for its citizens.||Shirish B Patel
22-05-2015||special articles||---------||Grandparental Childcare and Labour Market Participation of Mothers in India :||This paper examines whether the presence of grandparents increases the probability of mothers going out to work in India. Analysis of data from the Demographic Health Survey (2005-06), supplemented by a primary survey covering 750 graduate women in Kolkata shows that though conservative grandparents may oppose the mother's decision to work, support of grandparents--particularly maternal grandparents--is important in enabling these women to seek paid work in metropolitan cities. The type of care services provided by grandparents is also examined. The findings indicate the importance of multigenerational ties within the family.||Mousumi Dutta,Zakir Husain
22-05-2015||discussion||---------||Caste in Indian English Fiction : Footnotes to a Post-Mandal Debate||Taking off from Kalyan Das's article "Subaltern Historiography to Dalit Historiography" (EPW, 14 February 2015), this discussion digs up an old debate in the pages of EPW on the presence of caste and its denial in Indian English fiction, which still holds relevance.||Merin Simi Raj
22-05-2015||current statistics||---------||Macroeconomic Indicators :||------------------||EPW Research Foundation
22-05-2015||current statistics||---------||Secondary Market Transactions in Government Securities and the Forex Market--Weeks Ending 1, 8 and 15 May 2015 :||------------------||Clearing Corporation of India Limited
22-05-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
15-05-2015||from 50 years ago||---------||From 50 Years Ago : New Turn in Kashmir :||Vol XVII, No 20, may 16, 1965||
15-05-2015||commentary||---------||UK Elections : Political Mould Broken or Business as Usual?||Though the Tories under David Cameron have won a second term with a majority, the United Kingdom's political mould has broken with the recent elections. Most significantly, Scotland is on a journey of its own--and a largely positive-looking one. Labour has to reinvent its political story and purpose, just as the LibDems have to. The support for both the UK Independence Party and the Greens suggests voters are looking more widely for answers to today's challenges. And Cameron's small majority may soon come to cause him problems.||Kirsty Hughes
15-05-2015||commentary||---------||Ecologies of Suffering : Mental Health in India||This article proposes an "ecology of suffering" which mediates between the sufferer and the "clinic." "Ecology" refers to the network of forces acting on and by the people suffering and those around him/her. It is chosen to stress the mix of "natural," and "social" such as landscapes or air pollution. "The clinic" refers to what happens locally between the sufferer and mental health professionals attempting to actualise the National Mental Health Policy. The aim is to enhance a crucial, yet neglected, aspect of India's National Mental Health Programme: that individual mental suffering is related to a wide range of local factors.||Clement Bayetti,MAAN BARUA,Nanda Kannuri,Sumeet Jain,Sushrut Jadhav
15-05-2015||commentary||---------||Tackling Transfer Pricing||In the complex set of transactions between the affiliates of multinational enterprises located in different countries, the valuation of such deals for taxation by the host country is a complicated matter. A discussion of the various models and practices and a consideration of what the United Nations can offer in this regard.||
14-05-2015||commentary||---------||'Unsilencing Pakistan' :||"Unsilencing Pakistan" was an idea first articulated in 2011. It has been revived following the recent murder of Sabeen Mahmud, who had attempted to create a space where Pakistanis could discuss contentious issues--like the human rights violations in Balochistan--without fear. Can Pakistan's intellectuals and human rights activists survive the "intellecticide" being perpetrated?||Beena Sarwar
14-05-2015||commentary||---------||Kinnaur's Curse? : Environmental Threat from Hydroelectric Projects||Kinnaur, one of Himachal Pradesh's most ecologically fragile regions, is under threat from widespread construction activity for hydroelectric power projects. Landslides have become a common occurrence putting lives of villagers to severe environmental risk.||Manshi Asher
14-05-2015||commentary||---------||Future of Climate Finance : A Critical Evaluation||Providing developing countries adequate funds to reduce their greenhouse gas emissions remains vexed in spite of the urgency of combating climate change. In 2009, developed countries pledged to provide $100 billion by 2020 for a corpus to fund developing country climate mitigation initiatives. They have been tardy so far in honouring this commitment. This article tries to evaluate some of the potentially innovative sources to raise funds, examines suitability of private fi nance for the purpose and suggests ways to ensure effective utilisation of scarce public fi nance.||Anwar Sadat
14-05-2015||men doing feminism||---------||Men Doing Feminism in India : An Introduction||Aiming to bring critical attention to men's involvement in feminist social research in India, an introduction to a collection of essays on what it means to be a "man" and do "feminism."||Romit Chowdhury,Zaid Al Baset
14-05-2015||men doing feminism||---------||Masculinity Studies and Feminism : Othering the Self||Masculinity studies emerges from a conversation with feminism rather than either political activism that equates to feminist endeavours or reaction against the historical experience of oppression. But can men as social beings take part in a "conversation" that seeks to dismantle their social selves?||Sanjay Srivastava
14-05-2015||men doing feminism||---------||Embracing Feminism :||Manusamhitā can rightly be considered as a theoretical framework for the practice of misogyny, to which many, advertently or inadvertently, irrespective of caste, class and political affiliation, subscribe. Replete with verses which are demeaning and derogatory to women and absurd beyond belief, it spells out the grammar of masculinism with brutal, naked frankness.||Sibaji Bandyopadhyay
14-05-2015||men doing feminism||---------||Disrupting Coherence : Self Reflections of a Male Ethnographer||It is not so much the gender of the male ethnographer which influences the collection of gender-sensitive information from the field, but it is the "gender regime" prevailing in disciplinary practices such as anthropology and sociology, which determines the path charted by ethnographers and influences their research agenda in a way that culminates in gender-blind ethnographies.||Pushpesh Kumar
14-05-2015||men doing feminism||---------||Doing and Undoing Feminism : A Jurisdictional Journey||What does it mean for a man to conduct oneself as a feminist? It is this question that the author, a legal academic, dwells on in this essay. The article can be seen as a jurisdictional auto-critique about feminism's relationship with law, which by extension is a comment on the author's relationship with both law and feminism and his attempt to fashion a lawful feminist self as a man.||Oishik Sircar
15-05-2015||perspectives||---------||Reforming Labour Markets in States : Revisiting the Futility Thesis||Presenting a critical review of the issues in labour market reforms in India, this article places them against the backdrop of trends in labour force participation and formal/informal employment in the organised/unorganised sectors. Critically assessing the theoretical literature on labour market flexibility in the advanced economies, discussions in the Government of India's Economic Survey and the evidence in India, it asks if the reforms aimed at making the labour market more flexible will succeed in raising the economic growth rate and generating more employment, as advocates of labour market reform would have us believe.||Achin Chakraborty
14-05-2015||special articles||---------||Politics and Democracy in Our Time : Terms of Analysis||A shift from policies to that of the politics of the distribution of power and privilege in societies may bring with it recognition of the entirely new ethos of nationalism and democracy in our times. This article begins with this changed ethos by invoking that politics, and especially, a politics of indifference. It deals with two dimensions of the rule of indifference, beginning with the matter of difference as pluralism, and then turning to the issue of lack of sympathy with the here and now, the present generation, those living through the uprooting and displacement of diverse projects of "development." It should become clear from what follows that these two senses of the term, and the practices flowing from them, feed on each other, even if they appear in rather different guises and seem to be directed at very different kinds of objects.||Gyanendra Pandey
14-05-2015||special articles||---------||Trade in the Creative Sector : Comparing India with China, Brazil, and UK||Creative industries have become an important source of economic growth and international trade in recent years. India is one of the leading exporters of creative goods and services, and ranks fourth in terms of value of exports at the global level. However, the value of Indian exports is significantly lower than China's. Rising imports of creative goods and services to India also indicate an emerging and vibrant domestic market. However, unlike China, Brazil and the UK, India lacks an integrated policy framework for the creative sector. A coherent and informed policy could provide new opportunities to millions of traditional artisans and workers, and stimulate economic growth.||Abdul Shaban,Filip Vermeylen
14-05-2015||special articles||---------||Storytelling in the Time of Hate : Deciphering Law(s) through Literature||From laws on sedition and censorship to the vitality of resistance literature in times of struggle, creative writing and performance have played a critical role in shaping the public conscience. The ways in which law weaves into and through creative writing as also the ways in which literary criticism and literary debates crosspollinate ideas of law, consciously or implicitly, need to be better understood. Where does justice figure in relation to law in literature? Do literatures constitute the commons? And what are the boundaries and limits of literary commons, and who are the keepers of these boundaries?||Kalpana Kannabiran
15-05-2015||notes||---------||When Technology Trumps Labour : Trade Union Leadership and Banks||The capacity of trade unions to bargain or challenge technological change in the workplace has been a crucial aspect of the debate around machine-worker dialectics, which is a neglected area of research in India. Studying bank unions' struggles over technological choice and their implications on work routines, this note seeks to revise the otherwise optimistic narrative about Indian trade unions and their relationship with technology.||Shashi Kant Prasad
15-05-2015||current statistics||---------||Macroeconomic Indicators :||------------------||EPW Research Foundation
15-05-2015||current statistics||---------||Deployment of Bank Credit by Major Sectors :||------------------||EPW Research Foundation
15-05-2015||current statistics||---------||Secondary Market Transactions in Government Securities, Forex Market and Money Market--April 2015 :||------------------||Clearing Corporation of India Limited
15-05-2015||postscript||---------||The Smithy of Words :||The utility of dictionaries has increased with new technology and internet apps making reading a better experience for both native and non-native speakers of English.||Tejas Harad
15-05-2015||postscript||---------||Vive la Difference! :||Trying to organise an international, multicultural and secular wedding in Paris turned out to be a lesson in differing bureaucracies.||Sumana Narayanan
15-05-2015||postscript||---------||Last Lines :||------------------||
15-05-2015||postscript||---------||The View from Above :||In an effort to impart complex ideas as simply as possible, in this edition of his column, the illogical Toothcomber tackles the profligacy of the poor and economic inequality.||Toothcomber
15-05-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||EPW Research Foundation
19-05-2015||reports from the states||---------||Pilibhit Tiger Reserve : Conservation Opportunities and Challenges||Home to a sizeable tiger population and several other endangered species, the Pilibhit Forest Division, an erstwhile timber yielding reserve forest, was notified as a tiger reserve by the Uttar Pradesh state government in 2014. To successfully protect and perpetuate the tiger species in this area, noted for its "exemplary wildlife values", the administrators will have to preempt discord that is likely to arise between the forest department and human communities whose livelihoods are affected by the creation of the new reserve.||
20-05-2015||reports from the states||---------||State versus Municipal Funds : Rethinking Urban Finance in Delhi||The skirmish over non-disposal of waste in Delhi in May 2015 opens up bigger questions about the state-municipal relation over funds allocation and disbursement.||
15-05-2015||reports from the states||---------||Comparing Western UP and Bundelkhand : Human Development, Gender and Deprivation||For large states like Uttar Pradesh, there are always inter-regional comparisons regarding economic development and growth. However, without taking cognizance of the performance on the human development front, such comparisons often yield an incomplete and misleading picture. By factoring in these indicators, this article attempts to compare levels of human development in the two economic regions of UP, namely Bundelkhand and Western UP.||
21-05-2015||web exclusives||---------||Home Team versus Local Stars : Franchises in the Indian Premier League||The Indian Premiere League’s unwavering support base proves that it is attached not just to its local icons, but also to the local sporting grounds.||
13-05-2015||web exclusives||---------||Vices of Bollywood :||Bollywood’s reaction to the conviction of Salman Khan over the 2002 hit-and-run case shows the corrosion to artistic sensibility it has undergone under the influence of affluence.||
08-05-2015||from 50 years ago||---------||From 50 Years Ago:A Non-Capital View :||Vol XVII, No 19, may 8, 1965 A CALCUTTA DIARY A Non-Capital View Flibbertigibbet The Two Borders||
08-05-2015||h t parekh finance column||---------||Global Banking in Retreat?||HSBC, which operates in more than 80 countries, is in the midst of a signifi cant retreat from various markets, including retail banking in Brazil and Turkey. Last year, Citibank, another global player, cut its exposure to global consumer banking by nearly half to 24 countries.||T T Ram Mohan
08-05-2015||commentary||---------||Net Neutrality Is Basically Internet Egalitarianism :||Net neutrality is neither a technical principle nor something necessary to uphold free markets. It is an egalitarian principle as applied to a key building block of the new social system of the internet. But it is equally important to check the concurrent tendencies of rapid centralisation of power in so many areas that the networked social logic has caused. To be able to ensure this, the related principles of neutrality, non-discrimination and equity have to be applied consistently and meticulously across all layers of the internet.||Parminder Jeet Singh
08-05-2015||commentary||---------||Decentring the Fiscal Deficit Target Numbers :||Nations, unlike households, do not face budget constraints. Fiscal defi cit targets therefore cannot be the objective of macroeconomic policy. Instead, budget discussions must focus on governance, supply-side bottlenecks and on policies to raise aggregate demand.||Sashi Sivramkrishna
08-05-2015||commentary||---------||Wages of Tea Plantation Workers :||After prolonged tripartite wage negotiations, tea plantation workers of West Bengal fi nally reached a wage agreement last February. However, the wages in the new agreement continue to be below statutory minimum levels and are almost half the wages that plantation workers receive in Tamil Nadu and Kerala. Plantations in West Bengal and Assam continue to prosper even as they deny workers humane conditions of work that are mandated by the Plantations Labour Act 1951.||Sharit K Bhowmik
07-05-2015||commentary||---------||Death of Small-Farmer Dairies amidst India's Dairy Boom :||Amul has begun to do to the informal dairy sector what the European Union threatened to do to the Indian dairy sector: dump milk and milk products, capture the market and then drive down procurement prices as well. India's dairy sector increasingly shows signs of corporatisation with foreign fi rms and venture funds investing in cooperatives and then building chains with forward and backward linkages. The cooperative spirit that drove dairy development in India until the mid-1990s is fast disappearing.||Sagari R Ramdas
07-05-2015||commentary||---------||The American Hemisphere : North–South Divide||Having lost political and economic ground in Central and South America over the years because of its policies of political interference, the United States is now trying to change tack. The end of the embargo of Cuba is one example of the new policy.||Deepak Bhojwani
07-05-2015||perspectives||---------||Can the Chinese Connection Speed India's Development? :||China and India are the world's second largest and third largest economies, respectively. Yet, the engagement between their economies remains modest at best and people-to-people contact is minuscule. Will the various Silk Roads proposed by China including the Bangladesh-China- India-Myanmar Economic Corridor and the Maritime Silk Road offer India benefi cial ways to engage with China and the world? How could Sino-Indian economic connectivity help India in achieving its goals of rapid, equitable, balanced, and sustainable development? This essay outlines how the complementary capabilities of India and China can unleash innovation and creativity in both countries, addressing common people's concerns as well as rejuvenating the economies of countries in the neighbourhood.||Ravi Bhoothalingam
07-05-2015||special articles||---------||Congress in the Times of the post-Congress Era : Surviving sans Politics||Behind the dramatic demise of the Congress in 2014 is a long history dating back to the 1970s and 1980s. The Congress has often chosen to ignore those deeper reasons for its recent decline. Similarly, the failure of the Congress as also its possible strengths become evident only when we disaggregate the decline of the party state-wise. This leads to a curious but useful pointer-- the party may have to take on the Bharatiya Janata Party in states where it is locked in a bipolar contest with the BJP in order to create political space for itself. Above all, this paper argues that more than the leadership issue, the factors responsible for the decline of the Congress are the organisational neglect and complete abdication of politics. The paper then maps the challenges and limitations facing the Congress, particularly in its third life, the phase of survival.||Suhas Palshikar
07-05-2015||special articles||---------||Globalisation and Democracy :||The gathering momentum of globalisation in the world economy has coincided with the spread of political democracy across countries. Economies have become global. But politics remains national. This essay explores the relationship between globalisation and democracy, which is neither linear nor characterised by structural rigidities. It seeks to analyse how globalisation might constrain degrees of freedom for nation states and space for democratic politics, and how political democracy within countries might exercise some checks and balances on markets and globalisation. The essential argument is that the relationship between globalisation and democracy is dialectical and does not conform to ideological caricatures.||Deepak Nayyar
07-05-2015||special articles||---------||Contingent Convertibles and Bankers' Pay : The Missing Link in India’s Financial Regulation||The compensation practices at large financial institutions are often held as one of the important factors which contributed to the 2007/2008 global financial crisis. Regulators around the world, including India, have therefore moved to enact prescriptions aimed at increasing shareholder oversight of executive pay. Set against this background, the paper makes two novel proposals focusing on the Indian context. First, it nudges the regulators to prescribe creditor-centric compensation rules at banks. The Reserve Bank of India has hitherto focused on pay reforms that will promote incentive alignment between executives and shareholders. This paper argues that such reforms are likely to promote more rather than less risk-taking among bank executives. Second, it argues that the RBI ought to mandate banks to pay a substantial portion of the managerial compensation in contingent capital bonds. The design of these bonds can significantly motivate executives to "think like creditors" and thereby enable avoidance of taxpayer-funded bailouts.||Aadhaar Verma,Mandar Kagade
07-05-2015||notes||---------||Jharkhand Assembly Election : BJP Wins with Some Help from Opponents||The Jharkhand assembly election saw the Bharatiya Janata Party and its poll partner, the All Jharkhand Students Union Party, secure an absolute majority by winning 42 seats. The absence of a united opposition; a lukewarm Congress; the Jharkhand Mukti Morcha ceding ground in Santhal Parganas; large-scale defections of Jharkhand Vikas Morcha legislators; and a record voter turnout ensured that the result went the BJP way. The party also benefi ted from its urban popularity, the consolidation of the Hindu vote and being in power at the centre.||Sanjay Kumar,Shreyas Sardesai
08-05-2015||notes||---------||Interpreting the Mandate in Jammu and Kashmir :||------------------||Pranav Gupta,Sanjay Kumar,Shreyas Sardesai,Suhas Palshikar
08-05-2015||notes||---------||BJP's Unprecedented Victory in Jammu :||A detailed look at the Bharatiya Janata Party's electoral sweep of the Jammu region unpacks the victory and provides clues to understanding its political roots.||Rekha Chowdhary
08-05-2015||notes||---------||Saffronising 'Jatland' : Mapping Shifts in the Electoral Landscape in Haryana||The sweeping victory of the Bharatiya Janata Party in the 2014 assembly elections in Haryana raises important questions about the changing nature of identity politics. This article traces the historical contours of identity formation in Haryana in light of the unprecedented victory of the Hindu majoritarian party.||Radhika Kumar
08-05-2015||discussion||---------||As Green Delhi Turns Grey :||             ||Kasturi Das,Kaushik Ranjan Bandyopadhyay
08-05-2015||current statistics||---------||Macroeconomic Indicators :||------------------||EPW Research Foundation
08-05-2015||current statistics||---------||Money and Banking: Composition and Trend Growth :||------------------||EPW Research Foundation
08-05-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
08-05-2015||web exclusives||---------||Decoding "New Education Policy" : Misguided Policies for Improving Higher Education||An MHRD document titled “New Education Policy”, inviting comments from various stakeholders, seems to propagate the same old technocratic orientation towards improvement in higher education. That it would neither empower underprivileged students nor improve teaching and research has missed the ministry’s attention entirely.||
30-04-2015||margin speak||---------||Deconstructing 'Ambedkar'||Ambedkar's samata is not samrasata and his world view is not the neo-liberal, social Darwinism that it is being made out to be.||Anand Teltumbde
30-04-2015||commentary||---------||Supreme Court's Tryst with Secularism and Hindutva :||In February this year, the Supreme Court held that although Muslim personal law permits a man to marry four women, this does not offer protection against service rules that prohibit more than one spouse. This article looks at a number of significant judgments on secularism down the years and traces how they defined a term whose correct interpretation continues to elude us.||Namit Saxena
30-04-2015||commentary||---------||Reflections on Indian Political Economy :||Thirty years after The Political Economy of Development in India was published, its author explores what has changed and what has not changed in India today.||Pranab Bardhan
30-04-2015||commentary||---------||Low Wages and Fast Food :||Even as American fast food chains like McDonald's gain popularity in countries like India, in the US their workers are waging a bitter struggle for a higher minimum wage, better working conditions and the right to unionise. This article locates the "Fight for $15" campaign of American fast food workers within the larger context of workers' struggles in that country.||Divya Ravindranath,Sarah Siegel
29-04-2015||perspectives||---------||Scrapping the UGC : Corporate Agenda under Knowledge Economy||This article argues that none of the reasons and objectives stated by way of justification for the replacement of the University Grants Commission by the National Higher Education Authority are genuine. There is no compatibility between the nature of problems identified and the functional capability of the institutional solution proposed. This proposal exhibits a lack of comprehension and analysis of the fundamental problems of higher education. It is a poorly disguised cover to turn this sector into a handmaiden of the corporate sector.||Rajan Gurukkal
29-04-2015||special articles||---------||Contested Religion, Media, and Culture in India : Explorations, Old and New||This paper deals with the contested nature of religion, media, and culture in India. Beginning with an analysis of structural functionalist accounts of an unchanging and essentialised Hindu culture, it explores a key rupture-- the cultural politics of the anti-Brahmin movements in Maharashtra and Tamil Nadu. Turning to accounts of mediated Hindu nationalism, which have provided the bulk of writings on contested religion in India, it argues that the lack of a comparative literature on mediations in minority religions remains a major gap. It concludes with an assessment of new writings on the contested nature of media, religion, and culture in relation to Islam and Christianity in India.||Pradip Thomas
29-04-2015||special articles||---------||Ageing in India : Need for Universal Pension Scheme||India has low pension coverage, and the pension system is unable to fulfil its purpose. A non-contributory, basic pension can guarantee a regular income in old age to all residents of the country, regardless of earning or occupation. The feasibility of introducing such a pension in India is explored in this paper. It is argued that a properly crafted universal pension scheme will increase the coverage of pension without putting stress on the fisc.||Ayanendu Sanyal,Charan singh,Kanchan Bharati
30-04-2015||special articles||---------||Does Development Motivate More to Vote? :||Despite the usual arguments made in India about vote banks based on caste, religion, class, money, and other benefits, have times changed? Do citizens of India now vote for promises of development? With all signs indicating socio-economic progress over the years, has development as an objective under deliberative democracy entered the psyche of India's voters? And have two major election reforms--reducing the voting age to 18 and introducing a "None of the above" option on ballot papers--changed voting patterns in India? The answers to all these seem to be negative.||Gopal K Kadekodi,Shiddalingaswami V Hanagodimath
30-04-2015||notes||---------||Are BIMARU States Still Bimaru?||Ashish Bose coined the acronym BIMARU in the early 1980s to describe the backwardness of Bihar, Madhya Pradesh, Rajasthan, and Uttar Pradesh relative to the best-performing states in terms of demographic indicators. This article extends Bose's analysis to recent years to ascertain if the proposition is still valid. To retain the integrity of the original exercise, the same indicators examined by Bose have been analysed, as far as possible. It fi nds that the BIMARU states have made a lot of progress, yet they continue to be bimaru as the gap between them and the national average persists in a majority of indicators.||Vinita Sharma
30-04-2015||discussion||---------||Seeds of Doubt Remain : A Reply to CSO’s Rejoinder||In reply to the Central Statistics Office's rejoinder (18 April 2015) to his article (28 March 2015), the author examines the CSO's methodological improvisations to find out if they could have contributed to the higher estimates of growth in the private corporate sector in 2013-14. He concludes that there are reasons to maintain the seeds of doubt expressed in his initial contribution.||R Nagaraj
30-04-2015||current statistics||---------||Macroeconomic Indicators :||------------------||
30-04-2015||current statistics||---------||Trends in Wholesale Price Indices :||------------------||
30-04-2015||postscript||---------||English, Lanka! :||In Sri Lanka, the English language remains a symbolic marker of privilege, refinement and class—as well as a means of upward mobility.||Chalani Ranwala
30-04-2015||postscript||---------||Quality of Work and Corruption :||We care so little about the quality of assets in our public environment, poor quality being an outcome of corruption. When can we hope for a change? Some thoughts on corruption.||Shobhit Mahajan
30-04-2015||postscript||---------||A Wave-kissed Biennale :||As a large-scale contemporary art expo that sought global attraction and transboundary presence, the second edition of the Kochi-Muziris Biennale was a felicitous winner.||K G Kumar
30-04-2015||postscript||---------||Last Lines :||------------------||
30-04-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
07-05-2015||reports from the states||---------||Kinnaur's Curse? : Environmental Threat from Hydroelectric Projects||Kinnaur, one of Himachal Pradesh’s most ecologically fragile places, is under threat from widespread construction activity in hydroelectric power projects. Landslides have become a common occurrence threatening apple orchards as well as habitats in Kinnaur.||
05-05-2015||web exclusives||---------||Bat Hunts and Disease Outbreaks : Traditional Bat Hunting in Nagaland||Natural hosts of some of the most deadly emerging viruses such as Ebola, bats are harvested in an annual ritual by a Naga Tribe in Nagaland. This practice, endangering both public health and biodiversity, can lead to the emergence of novel infectious diseases. A concerted and multipronged effort will have to made by governments, especially in developing countries, where the contact between wildlife and humans is more intense, to prevent, contain and respond to the emerging zoonotic diseases.||
24-04-2015||from 50 years ago||---------||From 50 Years Ago : Dissidents in the Congress :||Vol XVII, No 17, APRIL 24, 1965||
24-04-2015||strategic affairs||---------||Modi's Opportunity in China||Prime Minister Narendra Modi has the political capital needed to push for a settlement of the boundary dispute with China. This could open up avenues to strengthen economic ties with China and also give India political space on multilateral stages like the World Trade Organization and the climate change negotiations.||Srinath Raghavan
24-04-2015||commentary||---------||Mental Distress, Disease, Diagnosis and Treatment : The Bigger Questions||After the Germanwings pilot with psychological problems flew a plane-load of passengers into the French Alps, there has been a great deal of public discussion on mental illness, suicidal tendencies and treatment. This comment addresses two larger issues related to mental distress and illness--psychiatric labelling and the indiscriminate use of psychotropic medication. Though human thinking, emotions, and behaviour defy simplistic categorisation, the current trend is to medicalise personal, social, economic, and political problems while diminishing the role of a causal environment.||K S Jacob
24-04-2015||commentary||---------||How To Avoid Seeing Like a State : Learning from CSOs||If a government’s policies are planned from a bird’s-eye view with insufficient knowledge of local conditions and livelihoods, they can go wrong. Civil society organisations on their part have the capability to act as a link between locals and decision-makers. CSOs are worth listening to because they might just have seen something that the state cannot see.||Katariina Oivo,Pradip Swarnakar,Sadaf Javed,Tuomas Ylä-Anttila
24-04-2015||commentary||---------||Saving the Employees' State Insurance Scheme :||The central government seems to be moving towards dismantling the most important social health insurance programme for the organised sector working classes, the Employees' State Insurance Scheme. The government is extending health benefits to the unorganised sector through targeted and restricted schemes using the route of private health insurance, but all these efforts fail to have the intended impact and end up benefiting the private hospitals and the insurance companies. Serious efforts must be made to iron out the design defect in the Employees' State Insurance Scheme and universalise it.||Ravi Duggal
24-04-2015||commentary||---------||Public Health Human Resource : Way Forward||Public health human resources is a crucial component of any public health system. The creation of a new public health cadre would result in better public health management and workers who are able to deal with changing public health priorities.||Amit Kumar Gupta,Neeraj Kumar Sethi,Vijay Kumar Tiwari
24-04-2015||commentary||---------||Shrinking Space for Islamic Finance in India :||The deferment of the launch of State Bank of India's Shariah Equity Fund in December 2014 is an indication of the level of opposition to Islamic finance. This article looks at various events related to Islamic banking in India and argues that shariahcompliant products will go a long way in the financial inclusion of the Muslim community.||Shariq Nisar
24-04-2015||commentary||---------||UK General Elections : Stalemate, Instability or a New Politics?||The new chaotic variety of British politics makes it clear that no single party is going to win a majority in the 7 May elections. Who will come first, and who they may be able to form a government with is uncertain. None of this is helped by the United Kingdom's lack of a written constitution, and the increasing inadequacy of the first-past-the-post system in a time of political diversity.||Kirsty Hughes
