26/2/1977- ||review of management, february 1977||4365350||New Issue Market and Company Finance||This paper aims to examine the role of the new issue market [NIM] in India. Section I of the paper sketches the methodology and scope of the enquiry. Section II attempts to present the overall role of, and trends in, the funds raised from the NIM vis-a-vis corporate financing. Sections III and IV enquire into the differences in the role of the NIM by size of firms and their group association. Section V explores how the use of the NIM is influenced by the rate of growth. Sections VI and VII are concerned with industry and age differences in relation to NIM. Section VIII contains the concluding observations.||M. Y. Khan
23/7/1977- ||from our correspondents||4365790||The Left in the Subcontinent: I||-------------------------------------||Sumanta Banerjee
14/5/1977- ||from our correspondents||4365583||Unfulfilled Promise||-------------------------------------||
15/1/1977- ||------||4365240||New Support||-------------------------------------||Mohan Ram
31/12/1977- ||review of agriculture, december 1977||4366248||Efficient Agricultural Marketing||This paper attempts an assessment of the efficiency of the marketing structure for agricultural products in India. In doing so, it formulates certain criteria for judging marketing efficiency at the micro and macro levels. After reviewing various aspects of marketing practice, the author concludes that the existing marketing structure does not need radical overhaul at the present stage of development of the economy. She, however, argues for a series of improvements in transport, in grading and storage systems and in the adoption of fair practices.||Zaibun Y. Jasdanwalla
09/4/1977- ||------||4365471||Companies: Exports Rise, but Not Enough||-------------------------------------||Hansavivek
26/3/1977- ||------||4365428||Companies: With More Profitable Product-Mix||-------------------------------------||Hansavivek
30/7/1977- ||------||4365806||Fresh 'Identifications'||-------------------------------------||
29/1/1977- ||from our correspondents||4365294||Fresh Offensive by Employers||-------------------------------------||
19/11/1977- ||from our correspondents||4366093||The Gomia Strike||-------------------------------------||Hemendra Narayan
10/9/1977- ||from our correspondents||4365911||Return to Free Market in Foodgrains?||-------------------------------------||B. M.
03/12/1977- ||------||4366144||Companies: Pinch of Recession||-------------------------------------||Hansavivek
02/4/1977- ||from our correspondents||4365454||Decline and Fall||-------------------------------------||Arun Sinha
24/9/1977- ||special articles||4365961||Decentralised Sector in Textile Industry: A Note||In its election manifesto as well as in industrial policy statements after assuming office, the Janata party appeared to be moving towards a major shift of policy in favour of the small sector in industry. However, in a recent statement the Prime Minister exhorted the handloom industry to dispense with the official protection given to it so far and to walk on its own feet. This exhortation may have been based on the apparently impressive growth of cloth production in the decentralised sector, as seen from figures of industrial output. However, before we take this picture of growth seriously and base future policy towards the decentralised sector on it, we must answer the following questions: (a) What is the decentralised sector and where has the growth been really concentrated? (b) How reliable is the method of estimating output in the decentralised sector?||Mridul Eapen
03/12/1977- ||from our correspondents||4366147||Minimum Wages on Paper||-------------------------------------||
18/6/1977- ||------||4365689||A Little Disorder||-------------------------------------||
26/2/1977- ||review of management, february 1977||4365353||MNCs and Export Development||India's target for exports-Rs 8,000 crores by 1980-postulates a two-fold increase in exports in a short period of four years. This target cannot be met if the country relies exclusively on natural growth in the export of products and services already being exported. One area where innovation is possible is the use of multinational corporations, their marketing skills and global network to augment Indian exports. Our ability to use MNCs would depend on the sophistication of our understanding of these corporations as managerial systems rather than mere economic or legal entities. What is necessary is a selective, managerially-oriented export strategy which makes use of the MNCs. An approach for developing such a strategy is argued in this paper.||C. K. Prahalad
01/10/1977- ||from our correspondents||4365973||A Rupee a Day Keeps Politics Away||-------------------------------------||Timir Basu
19/3/1977- ||------||4365404||No Compulsion?||-------------------------------------||
22/1/1977- ||from our correspondents||4365270||Investment Refuses to Oblige||-------------------------------------||B. M.
2/7/1977- ||from our correspondents||41497071||No Left Turn||-------------------------------------||
05/3/1977- ||------||4365364||Congress and Muslims||-------------------------------------||
29/10/1977- ||from our correspondents||4366051||Misconceptions about Cancer Therapy||-------------------------------------||Padmakar Darne
23/4/1977- ||------||4365506||Holding Operation||-------------------------------------||
17/12/1977- ||------||4366189||Thoughts of Chairman Dange||-------------------------------------||
14/5/1977- ||------||4365572||Bosses to the Fore||-------------------------------------||
28/5/1977- ||from our correspondents||4365631||Report on Political Prisoners||-------------------------------------||
17/12/1977- ||from our correspondents||4366200||Hosiery Workers of Calcutta||-------------------------------------||Timir Basu
17/12/1977- ||------||4366187||For Private Profit||-------------------------------------||
27/8/1977- ||review of management, august 1977||4365876||Consulting as Tool of Management Development: Role of Business Schools||Management consulting provides a very dynamic and effective tool for attaining the objectives of business schools for improving managerial effectiveness. This is brought about by management development of the organisation as also its managers individually and collectively. The process of management development is substantially strengthened if an 'in-house group approach' is adopted to management consulting. The process of consulting activity contributes to faculty growth and development, improvement of teaching effectiveness and development of educational material. It also provides an excellent avenue for application of current knowledge and research findings in solving real-life problems. Nonetheless, the real danger of imbalance between the commercial aspects of consulting and academic and management development must be firmly kept in view. It is necessary, therefore, to have a clear framework in order to relate consulting activity to institutional objectives and to ensure that explicit guidelines are developed and administered from a position of tough-minded objectivity.||S. K. Bhattacharyya
19/3/1977- ||capital view||4365408||Stabilities and Kichries||-------------------------------------||Romesh Thapar
09/7/1977- ||------||4365732||No Hope for the Poor||-------------------------------------||
01/10/1977- ||------||4365967||China on Euromarket?||-------------------------------------||
10/12/1977- ||from our correspondents||4366172||Class War, Not 'Atrocities against Harijans'||-------------------------------------||Arun Sinha
16/4/1977- ||------||4365490||Death Pangs of Bandaranaike Government||-------------------------------------||
24/9/1977- ||review of agriculture, september 1977||4365950||A Flight from Plenty||-------------------------------------||
23/4/1977- ||perspectives||4365521||How to Live with the Constitution Amendments||-------------------------------------||T. R. Andhyarujina
10/12/1977- ||from our correspondents||4366174||Varma Committee on Industrial Relations||-------------------------------------||Mahesh Desai
22/1/1977- ||from our correspondents||4365271||Madhuban: Landless Labour to Poor Peasant||-------------------------------------||Arun Sinha
14/5/1977- ||from our correspondents||4365586||The Struggle Continues||-------------------------------------||Karrim Essack
21/5/1977- ||from our correspondents||4365611||Where Is the Political Approach?||-------------------------------------||Mohan Ram
23/4/1977- ||the fourth estate||4365520||Willing to Be Corrupted||-------------------------------------||Nireekshak
09/4/1977- ||from our correspondents||4365477||Decline of PLO||-------------------------------------||Ramesh Jaura
15/1/1977- ||from our correspondents||4365253||From Geneva to Salisbury||-------------------------------------||Ninan Koshy
19/11/1977- ||from our correspondents||4366090||Putting Labour on Leash||-------------------------------------||B. M.
2/7/1977- ||from our correspondents||41497069||Not a Negative Vote||-------------------------------------||Ajit Roy
27/8/1977- ||capital view||4365867||Politicians and Bureaucrats in Confusion||-------------------------------------||Romesh Thapar
23/7/1977- ||from our correspondents||4365788||Destruction of Fertiliser Corporation||-------------------------------------||B. M.
26/2/1977- ||capital view||4365342||The Groundswell||-------------------------------------||Romesh Thapar
1/8/1977- ||political economy of energy policy||4365859||Economic Appraisal of Bio-Gas Units in India: Framework for Social Benefit Cost Analysis||This paper aims (i) to present a framework for a detailed social benefit cost analysis of investments in bio-gas plants in rural India; (ii) to assess the available information on valuation of output (fertiliser and fuel) and valuation of inputs in various studies of bio-gas systems; (iii) to present some preliminary results on the profitability of investment in bio-gas units from the viewpoint of society; and (iv) to give some estimates of the macro-level implications of installing 100,000 bio-gas units in the next few years.||Ramesh Bhatia
1/8/1977- ||institutional bases of rural poverty||4365851||Performance and Prospects of Crop Production in India||This is an admittedly pessimistic assessment of the prospects for accelerating agricultural growth, at any rate in the next decade. A degree of optimism may well have been justified a decade back. At that time, it seemed that given the abysmally low productivity and technological level of Indian agriculture, rapid growth should be relatively easy to achieve by a combination of massive investments in irrigation and fertilisers, supported by extension and credit. The advent of the HYVs in the mid-sixties lent greater confidence to this view. But the fact that, after a decade of accelerated irrigation development, fertiliser use, and the rapid spread of HYVs, growth rates of production have not increased, and may have in fact fallen, compels a sober re-assessment. This is all the more important because, directly or indirectly, many of the problems of the Indian economy in recent years - whether it be inflation, stagnation of investment, or imbalances between production capacity and demand - are traceable to the poor performance of agriculture. To persist in planning based on a naive optimism of agricultural prospects in the face of such experience, can only further compound these problems.||A. Vaidyanathan
19/11/1977- ||from our correspondents||4366094||Porters of Posta Bazar||-------------------------------------||Timir Basu
17/12/1977- ||from our correspondents||4366202||Western Anxieties||-------------------------------------||Hari Sharan Chhabra
1/8/1977- ||institutional bases of rural poverty||4365852||Agricultural Growth and Rural Poverty: Some Lessons from past Experience||There is a strong complementary relationship between the growth of agricultural output and employment generation in Indian agriculture because of the existence of large underutilised resources such as land and labour. Public investment should be stepped up in the rural sector in projects which can be (a) directly undertaken by the government and where leakages of funds are the minimum, and (b) which have large complementarity with the private resources of the farmers, namely, land and labour in the backward regions and among the poorer farmers. Such a strategy may raise the aggregate level of savings because of the exploitation of the complementarities between public and private investment to the maximum over wide areas in the country. Further, since capital-output ratio in these areas can be expected to be lower, the overall rate of growth of agricultural output may be higher than what has been achieved so far. This is likely to generate larger employment and income for the poorer segments. Although the proportion of output marketed per unit of output may be lower, the aggregate marketed surplus as well as savings may turn out to be higher because of the higher overall growth rate.||C. H. Hanumantha Rao
12/3/1977- ||------||4365382||Vulnerable Citadel||-------------------------------------||
07/5/1977- ||from our correspondents||4365557||Operation Sterilisation, 1976||-------------------------------------||
15/1/1977- ||------||4365242||Now for the Left||-------------------------------------||
02/4/1977- ||------||4365444||End of the Super-Cabinet||-------------------------------------||
22/10/1977- ||------||4366025||Food Policy Contretemps||-------------------------------------||
18/6/1977- ||------||4365690||Act of God?||-------------------------------------||
09/4/1977- ||capital view||4365469||The Real Meat of the Emergency||-------------------------------------||Romesh Thapar
15/1/1977- ||special articles||4365255||Exchange Rate Policy under a Regime of Floating Rates: A Critique of the Indian Experience||This paper examines the exchange rate policy pursued by India since August 1971. Exchange rate policy has a vital influence on the structure and balance of a country's trade, the magnitude of the transfer items, the overall balance of payments situation, the foreign exchange reserves position and the burden of external debt and its servicing. The impact of India's exchange rate policy will be studied from some of these angles. An effort will also be made to compare the structure of exchange rates of the rupee vis-a-vis some major currencies under the present policy with the structure that would have prevailed under an alternative policy.||Satyendra S. Nayak
14/5/1977- ||------||4365574||Old Ghosts Astir Again||-------------------------------------||
19/3/1977- ||special articles||4365416||Shifts in Pattern of Asset-Holdings of Rural Households, 1961-62 to 1971-72||This paper seeks to analyse the shifts in the pattern of asset-holding of rural households over the decade 1961-62 to 1971-72. The basic pattern of asset-holding, the authors conclude, has not undergone any significant change. If at all, the share of the top asset-holders has registered varying increases in most of the states. The asset distribution in Tamil Nadu, Punjab and Andhra Pradesh exhibits a high degree of inequality. There does not, however, seem to be any relationship between the degree of inequality and the average value of assets per household.||R. P. Pathak,K. R. Ganapathy,Y. U. K. Sarma
24/9/1977- ||review of agriculture, september 1977||4365951||Some Aspects of Employment and Unemployment in Agriculture||In this article are discussed some crucial aspects of the employment and unemployment conditions in Indian agriculture. In Section I, we shall try to take a view about the works already done by different research workers in this field. In Section II, we shall take yet another look at the 'surplus labour model' with the help of fresh results involving disaggregated data for Assam. In Section III, we shall discuss the seasonal pattern of employment in agriculture for the region of Assam. In Section IV, we shall try to give a picture regarding the nature and extent of underemployment in agriculture for some regions in India with the help of another statistical analysis. In Section V, we shall present our views of the unemployment in agriculture and its policy implications.||Manabendu Chattopadhyay
19/3/1977- ||from our correspondents||4365411||Curious Goings On||-------------------------------------||
24/12/1977- ||special articles||4366224||Growth Possibilities in the Indian Economy||This paper argues that the 'initial conditions' for the Sixth Plan are substantially different compared to the earlier experience and consequently the possibilities of growth are much wider. Among other changes, the most notable ones are (i) the nature, structure and levels of private remittances that are being recorded in the Indian economy, (ii) large unutilised capacity in the capital goods sector, (iii) the ability of the Indian economy to increase exports due to its diversified base, (iv) the existence of a large stock of technical manpower, and (v) the existence of buffer stocks of critical commodities, e g, cereals and foreign exchange. It is in this context that the author argues that, even within the present framework, growth possibilities now exist for the Indian economy which are of a substantially higher order in comparison with the trend rate of growth.||Vijay Laxman Kelkar
01/10/1977- ||------||4365963||Burying Public Distribution||-------------------------------------||
22/10/1977- ||from our correspondents||4366035||Disenchantment Returns||-------------------------------------||Ravi Chopra
28/5/1977- ||review of management, may 1977||4365635||Towards Industrial Democracy||The concept of labour-management co-partnership is once again in the forefront of the industrial scene. This article attempts to present some of the issues involved in the light of earlier experiences with institutions of participative management. The basis of co-partnership, its social content, and the way it has worked in the Indian situation are some of the issues examined. The last two sections contain some proposals towards the constitution of an industrial democracy.||N. R. Sheth
29/1/1977- ||------||4365289||Clippings||-------------------------------------||
01/10/1977- ||special articles||4365981||Changes in Distribution of Household Income, Consumption and Wealth in Rural Areas||Studies of shifts in distribution of household income and consumption have covered several aspects of such distribution, such as distribution of pre-tax and post-tax (disposable) income, distribution between rural and urban areas, possible effects of differential levels of prices between rural and urban areas on the inequality measure, distribution at constant prices and inter-state and intra-state differentials in the distribution pattern. All these studies cover by and large the same time horizon, and often use the same basic source of data. The purpose of the present paper is to examine the results of these studies about the pattern of distribution of income, consumption and household assets in rural areas over the last decade or so and to draw conclusions regarding the changes in distribution over time.||Uma Datta Roy Choudhury
1/8/1977- ||an untold story||4365850||Abu Taher's Last Testament: Bangladesh: The Unfinished Revolution||The story of Abu Taher's life cannot be summed up easily or simply, nor can the sequence of events which brought it to an abrupt heroic close. The time involved spans more than half a decade. It has been a complex period of extraordinary violence and brutality. In the past two years alone Bangladesh has been ruled by a succession of four regimes, each succeeding the other by force of arms. Out of the struggle for independence in 1971 nearly a million persons died in war or from starvation. In 1974 a hundred thousand peasants succumbed to a famine which was largely man-made. In 1975 Bangladesh entered a new phase of political upheavals. Two military putsches involving assassinations and grim jail-house murders were followed by a revolutionary army mutiny. It was a soldiers' uprising that had not been seen in the subcontinent since 1857, when the colonial army of India rebelled against the British. It was this insurrection on November 7, 1975, which deeply shook the polity of Bangladesh and more than any other event brought historic prominence to Abu Taher. The purpose of this article is to describe the history of the events which gave birth to the November 7 Uprising. But more than that the object is to reveal the details of Abu Taher's secret trial and subsequent execution. The men, whom Abu Taher calls upon to realise their moral responsibility or face the condemnation of history, would today face arrest in Bangladesh were they to publicly speak what they know. No doubt one day they will, but until then the report of the present writer, and the publication of Taher's own testimony, must suffice as an opening statement on the case. The years ahead will certainly provide many more.||Lawrence Lifschultz
25/6/1977- ||review of agriculture, june 1977||4365720||Growth and Stagnation||-------------------------------------||
08/10/1977- ||------||4365995||Companies: Higher Production, Lower Profit||-------------------------------------||Hansavivek
01/10/1977- ||chairman's statement||4365983||Nirlon Synthetic Fibres and Chemicals Limited||-------------------------------------||Jaykrishna Harivallabhdas
26/3/1977- ||from our correspondents||4365429||Vote Banks Break Down||-------------------------------------||Arun Sinha
30/4/1977- ||from our correspondents||4365539||Communist Party: A Year after the 22nd Congress||-------------------------------------||
2/7/1977- ||from our correspondents||41497072||A Three-way Deal?||-------------------------------------||S D Muni
08/10/1977- ||from our correspondents||4365997||Onward, World Bank Soldiers!||-------------------------------------||
09/4/1977- ||from our correspondents||4365479||Not Enough Babies||-------------------------------------||
01/10/1977- ||special articles||4365982||An Instance of Local Irrigation Management in China||An investigation into the methods and structures of local irrigation management in China could yield important insights into the operation of a decentralised, inter-village form of technically-based management which has been harnessed, apparently successfully, to the objective of modernising a rural economy. This note is based on a pamphlet which the author came across in 1974 in the course of a visit to China, describing the Meiquan Reservoir Irrigation District in Hupeh Province, a pre-eminent national model in irrigation management.||James E. Nickum
26/3/1977- ||------||4365422||The Three Congresses||-------------------------------------||
22/1/1977- ||------||4365261||Dialogue on a Dialogue||-------------------------------------||Mohan Ram
26/11/1977- ||from our correspondents||4366115||Implementation, the Stumbling Block||-------------------------------------||
22/10/1977- ||from our correspondents||4366036||Creeping Authoritarianism||-------------------------------------||Ramesh Jaura
09/4/1977- ||------||4365468||Jumblatt's Murder||-------------------------------------||
03/12/1977- ||special articles||4366157||Federal Fiscal Transfers in India: A Comment||-------------------------------------||G. Thimmaiah
18/6/1977- ||------||4365692||Companies: Excellent Results, Collaborated Expansion||-------------------------------------||Hansavivek
17/9/1977- ||------||4365923||Getting Away with Murder||-------------------------------------||
31/12/1977- ||from our correspondents||4366239||Travails of a Newspaper||-------------------------------------||Nireekshak
22/1/1977- ||special articles||4365278||Managing Durgapur: Experiences of a Trade Unionist: IV||This, the last part of a four-part personal account of a trade union activist's experience as manager of Durgapur Steel Plant, continues the story of industrial relations in DSP. Three major strikes - the mixer cranes strike, the steel melting shop strike and the blast furnace strike - are described. The author also gives an account of the Officers' Association, its organisation, aims and methods, and his problems with the activist section of the Association. The article concludes with a brief account of the policy differences the author had with the Chairman, SAIL, and the events that led him to resign from the post of General Manager, DSP.||Bagaram Tulpule
08/10/1977- ||from our correspondents||4366000||Ananta Singh Case: CPI(M) on Trial||-------------------------------------||Kalyan Chaudhuri
26/11/1977- ||------||4366108||Mini-Emergencies||-------------------------------------||
27/8/1977- ||------||4365865||Michael D'Souza||-------------------------------------||
30/7/1977- ||special articles||4365824||Federal Fiscal Transfers in India: Performance of Six Finance Commissions||This paper attempts to evaluate the performance of the Six Finance Commissions in terms of fulfilling the objective of equity through federal fiscal transfers. The Finance Commissions have been severely hindered by the restricted role they have charted out for themselves by confining their recommendations to meeting the needs arising from the non-plan revenue accounts of the states. Further, even within this restricted scope, the federal transfers recommended by the Finance Commissions have been unsuccessful in fulfilling the objectives of equity. Some rich, relatively urbanised states, have ended up with sizeable surpluses in their revenue accounts; on the other hand, some of the poorer states in spite of low levels of public services, could not qualify for statutory grants.||M. Govinda Rao
01/10/1977- ||from our correspondents||4365976||From Saigon to Ho Chi Minh City||-------------------------------------||Madhu Bhaduri
10/9/1977- ||------||4365910||Companies: Onward into the Core Sector||-------------------------------------||Hansavivek
05/11/1977-12/11/1977||------||4366068||Just Routine Torture||-------------------------------------||
14/5/1977- ||------||4365581||Companies: Higher Profits on Lower Sales||-------------------------------------||Hansavivek
24/9/1977- ||from our correspondents||4365957||Harijans at Bay||-------------------------------------||N. K. Singh
23/4/1977- ||international affairs||4365515||Accent on Continuity||-------------------------------------||G. P. D.
19/3/1977- ||from our correspondents||4365409||From Authoritarianism to Populism||-------------------------------------||B. M.
15/1/1977- ||------||4365248||Companies: Accent on R and D||-------------------------------------||Hansavivek
07/5/1977- ||------||4365549||Business as Usual||-------------------------------------||
08/10/1977- ||from our correspondents||4365999||Political vs Bureaucratic Power||-------------------------------------||
19/11/1977- ||special articles||4366100||Measuring Peasant Capitalism: Russia's 1920s and India's 1970s||Within the perspective of political economy, three related issues are consequent and central. Of these, the first is the process of differentiation of the peasantry confidently expected to produce or reinforce the basic social classes of capitalism. Basic political strategies and class alliances have been anticipated and planned according to how questions concerning the peasantry's differentiation have been answered. This article therefore considers this issue, in the light of scholarly researches of Russia in the 1920s, for the so-called 'developing countries' of today.||Teodor Shanin
26/11/1977- ||from our correspondents||4366119||Free Hand for Speculators||-------------------------------------||
15/10/1977- ||------||4366009||Truly Non-Aligned||-------------------------------------||
11/6/1977- ||------||4365672||Companies: Profitable Diversification||-------------------------------------||Hansavivek
30/4/1977- ||special articles||4365544||Liquidation of Personal Liberty||This article examines the principal landmarks - the executive proclamations, legislative enactments, constitutional amendments and, not the least, Supreme Court judgments - in the process of liquidation of liberty during the Emergency. The author also suggests, by implication, what needs to be done to dismantle the authoritarian structure created in this manner.||A. G. Noorani
25/6/1977- ||special article||4365729||Squaring the Circle: Union Budget for 1977-78||What the 1977 Budget lacks is a clear direction of policy which the new government proposes to pursue. While it deplores industrialisation and is yet to chalk out clearly the role of 'modern industry' in economic growth, it provides far-reaching concessions for investment in fixed assets and in corporate securities as also for merger of loss-making units with profit-making ones. These measures, viewed along with references in the Budget speech to "liberalisation in import policy" and to "uneconomic size of industrial units" in the Economic Survey, would suggest that the new government would essentially continue the trend towards encouragement of free market forces which has been so clearly visible in the last two years. While the accent on competition and on efficient operation of industrial units is desirable, the basic point is that investment priorities in that case will primarily be determined by the existing skewed income distribution. The immediate impact of the Budget on investment is likely to be limited in view of the rather modest step-up in investment expenditure. Even this modest rise may have to be financed through inflationary resources.||
29/1/1977- ||------||4365288||Lull Is Broken||-------------------------------------||
21/5/1977- ||from our correspondents||4365607||Bokaro without Soviet Help||-------------------------------------||B. M.
25/6/1977- ||from our correspondents||4365717||Glamour Politics in Command||-------------------------------------||
24/12/1977- ||from our correspondents||4366219||Reorganisation of Agriculture in the South||-------------------------------------||Genevieve Lemercinier,Francois Houtart
25/6/1977- ||review of agriculture, june 1977||4365721||Rural Employment, Wages and Labour Markets in India: A Survey of Research||This survey of empirical work on the rural labour market is divided into three sections. Section I surveys the literature on size, characteristics and composition of the rural working force and employment, particularly the changes over time. Changes in the composition of rural work participation and in the distribution of employment, viewed together with the pattern of migration, would indicate at the macro level, adjustments of labour supply to changing income-earning opportunities. Section II covers studies on labour demand implications of agricultural growth with technological change, focusing on the respective employment effects of the seed-water-fertiliser innovation and of the tractor technology depending on the composition of its operational uses. With an eye to the labour demand effects of the changes in scale of production, technology, and related changes in the nature of tenancy and other agrarian institutions, the author discusses studies on employment and wage rates for agricultural labourers, on changes in labour's share of valued added, and on the broad correlates of regional and/or intertemporal variation in wage rates. Section III is concerned more exclusively with the relatively small amount of literature relating to the process of rural wage determination, the allocation of household labour supply and of demand for farm labour by the source of supply. The issue of seasonality is discussed more directly in this context. The various implications of institutional differences in the modes of wage payment, labour contracts, and the nature of land (lease) markets are also considered in some details there. This paper will be published in three parts. Section I appears below; Section II and III will be published in the following weeks.||Kalpana Bardhan
1/2/1977- ||the economic crisis||4365329||USSR and Third World: Unequal Distribution of Gains||This paper starts with the premise that for nearly every Third World country some economic relations with the USSR is incomparably more advantageous than exclusive reliance on the Western imperialist group of nations. What, however, is not clear is the distribution of gains, which, this paper seeks to examine. In Section I the regional pattern of Soviet trade, and economic and military aid to the Third World and the Soviet balance of payments vis-a-vis both the Third World and the West are discussed. Section II briefly surveys past studies on the terms of trade between the Third World and the USSR. Section III examines switch trade. Section IV reviews the existing literature on the terms of trade among the CMEA partners with a view to gaining an insight into the Soviet methods of price-fixation in foreign trade. Section V contains the results of the author's own calculation of Soviet gains from exports to the Third World as revealed by Soviet trade statistics. The same sources are used again to unravel further examples of triangular trade which virtually amounts to switch trade. The penultimate section takes up the question of the appropriate exchange rate for the Soviet rouble, and finally, some broad conclusions are offered.||N. K. Chandra
15/10/1977- ||from our correspondents||4366018||Portrait of a Village||-------------------------------------||Govind S. Kelkar
31/12/1977- ||------||4366229||Classic Division of Labour||-------------------------------------||
26/3/1977- ||review of agriculture, march 1977||4365433||Subsidy for Whom?||-------------------------------------||
30/4/1977- ||------||4365528||No Exceptions||-------------------------------------||
27/8/1977- ||review of management, august 1977||4365877||Impact of High Capital Cost on Cash Flows of Industrial Units||The capital cost of industrial projects has risen sharply in the last few years. Resort to external funds for financing investment has also increased, while interest rates on term finance have been raised. A possible approach to assessing the impact of escalation in capital cost and increase in interest rate charges on term-finance would be to identify the amount of incremental funds required by an industrial unit on account of these factors. Additionally, there will be enhancement in capital charge on account of depreciation. The purpose of this article is to quantify, in certain hypothetical cases, incremental requirement of funds in the form of depreciation and debt servicing on the basis of certain simplifying assumptions.||N. J. Jhaveri
15/10/1977- ||special articles||4366021||Planning Process, Planning Commission and Rollover Planning: Some Basic Issues||The present paper attempts to argue three major points: (1) Before considering the method of planning - fixed or rolling - priority should be accorded to the basic problem of restoring the credibility of the planning process itself and this has to be done at the political level. No plan is likely to succeed in the absence of this essential requirement. (2) As regards the method of planning - rollover as against fixed plans - each has its strong points as well as problems, the rolling method being considerably more complex than the fixed plan method and the desirable mode of planning should be determined on the basis of the availability of certain prerequisites. (3) In the present Indian context, the essential prerequisites of the rolling plan method appear to be demanding and in the absence of adequate preparation and deliberations, the prospects for its working are far from bright and it is likely to lead to unintended results. In the light of the discussion, the author concludes that the abrupt changeover in the basic method of planning does not augur well for restoration of credibility in the planning process.||Suresh D. Tendulkar
03/12/1977- ||special articles||4366155||Opportunity to Face Basic Issues||The real ills of the present educational system are its elitist nature, its heavy pushout and dropout rate, its scandalously poor rural school environment, its growing unemployed and unemployable product outcome, its indifference to the 70 per cent adult illiterates and neglect of the special claims of first generation learners, its minimal learning and atrocious evaluation system, and its widening gap between the overt (prescribed) curriculum and the hidden (real) curriculum. Compared to these basic ills, which the new system provides an opportunity of bringing out into the open with the possibility of remedial action, the technical problems of how the 10-year school should be staged, where the +2 higher secondary stage should be placed and what kind of mix of general and vocational learning should be planned are of secondary significance. If the basic issues are dealt with, the technical problems can also be solved.||Malcolm S. Adiseshiah
01/10/1977- ||from our correspondents||4365971||Danger Signals in Industrial Relations||-------------------------------------||B. M.
24/12/1977- ||------||4366208||Not by More Power||-------------------------------------||
06/8/1977- ||------||4365829||Scores and Scars||-------------------------------------||
25/6/1977- ||from our correspondents||4365719||Wages of Emergency||-------------------------------------||N. K. Singh
09/7/1977- ||from our correspondents||4365743||Workers' Anger||-------------------------------------||Ramnath Narayanaswamy
26/11/1977- ||------||4366106||No End to Crisis||-------------------------------------||
02/4/1977- ||from our correspondents||4365452||Gains for the Left||-------------------------------------||Ajit Roy
07/5/1977- ||------||4365565||Bank of Baroda||-------------------------------------||
22/1/1977- ||------||4365266||Clippings||-------------------------------------||
14/5/1977- ||from the chair||4365593||Albright, Morarji and Pandit Limited||-------------------------------------||N. Dandeker
1/2/1977- ||------||4365309||In Due Season||-------------------------------------||Kapurusa
17/12/1977- ||from our correspondents||4366199||Story of a 'Top Priority' Scheme||-------------------------------------||M. D. Nalapat
30/7/1977- ||------||4365809||Not Cricket!||-------------------------------------||Ajit Roy
10/12/1977- ||------||4366169||Companies: Facing Recession through Diversification||-------------------------------------||Hansavivek
09/4/1977- ||------||4365467||Continuing Idle Capacity||-------------------------------------||
29/1/1977- ||special articles||4365302||Trends in Rural Unemployment in India: Two Comments||-------------------------------------||Pravin Visaria,S. K. Sanyal
22/10/1977- ||international affairs||4366037||On Eurocommunism||-------------------------------------||G. P. D.
19/11/1977- ||capital view||4366088||Crisis of Rulership||-------------------------------------||Romesh Thapar
17/9/1977- ||from our correspondents||4365931||Shades of McCarthyism||-------------------------------------||Anamika
22/10/1977- ||perspectives||4366038||Spectators to Our Own Acts||-------------------------------------||Yashodhara Dalmia
28/5/1977- ||from the chair||4365632||Ashok Leyland Limited||-------------------------------------||S. Ranganathan
26/11/1977- ||review of management, november 1977||4366123||Selection of Management Graduates through Campus Recruitment: A Case of Employers' Selection Criteria||Considering the importance of the subject of selection criteria used by prospective employing organisations at campus recruitment programmes for management graduates, the author conducted a case study on this subject. This was undertaken through a survey of the views of the executives of most of the organisations participating in the 1976 Campus Recruitment Programme of the Indian Institute of Management at Ahmedabad regarding selection criteria used by them for offering various jobs to the management graduates of this Institute. This note presents the major findings of this survey.||Charan D. Wadhva
08/1/1977- ||from our correspondents||4365227||Money Supply: The Paradox||-------------------------------------||S. K. Rao
26/11/1977- ||from our correspondents||4366114||Major Move against Semi-Feudal Tenancy||-------------------------------------||N. K. Chandra
2/7/1977- ||capital view||41497066||Janata Aberrations?||-------------------------------------||Romesh Thapar
29/1/1977- ||from our correspondents||4365296||How They Won the War||-------------------------------------||Harish Chandola
01/10/1977- ||------||4365966||Not so Exclusive?||-------------------------------------||
05/11/1977-12/11/1977||------||4366070||Companies: Who's to Blame for Deficits?||-------------------------------------||Hansavivek
11/6/1977- ||------||4365669||Trouble in Paradise||-------------------------------------||
03/9/1977- ||from our correspondents||4365899||The South African Connection||-------------------------------------||Surendra Bhutani
27/8/1977- ||------||4365864||Subsidised Credibility||-------------------------------------||
10/12/1977- ||from our correspondents||4366173||Growing Dissensions||-------------------------------------||
17/9/1977- ||------||4365921||Easy Pickings||-------------------------------------||
29/1/1977- ||special articles||4365303||Private Foreign Investment: A Comment||-------------------------------------||K. Jayaraman
26/11/1977- ||------||4366110||Overdue Reforms||-------------------------------------||
25/6/1977- ||------||4365709||Return of Rajamata||-------------------------------------||N. K. Singh
26/2/1977- ||from our correspondents||4365345||Unfulfilled Promise||-------------------------------------||
29/1/1977- ||------||4365284||Samachar's Discoveries||-------------------------------------||Ajit Roy
